,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf,param_clf__estimator__C,param_clf__estimator__class_weight,param_clf__estimator__solver,param_vect__ngram_range,param_clf__estimator__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
15,171.25230073928833,8.225345492013748,49.39596514701843,5.263530974468403,"MultiOutputClassifier(estimator=LogisticRegression(C=0.046415888336127774,
                                                   class_weight='balanced',
                                                   solver='sag'),
                      n_jobs=-1)",0.046415888336127774,balanced,sag,"(1, 2)",,"{'clf': MultiOutputClassifier(estimator=LogisticRegression(C=0.046415888336127774,
                                                   class_weight='balanced',
                                                   solver='sag'),
                      n_jobs=-1), 'clf__estimator__C': 0.046415888336127774, 'clf__estimator__class_weight': 'balanced', 'clf__estimator__solver': 'sag', 'vect__ngram_range': (1, 2)}",0.5660841303564371,0.5616822648247921,0.5710594437917564,0.5769726193903588,0.5723423328489385,0.5696281582424566,0.005273590570624888,1
13,176.02465114593505,1.2988404885022036,42.225840425491334,1.1155148177782443,"MultiOutputClassifier(estimator=LogisticRegression(C=0.046415888336127774,
                                                   class_weight='balanced',
                                                   solver='sag'),
                      n_jobs=-1)",0.046415888336127774,balanced,lbfgs,"(1, 2)",,"{'clf': MultiOutputClassifier(estimator=LogisticRegression(C=0.046415888336127774,
                                                   class_weight='balanced',
                                                   solver='sag'),
                      n_jobs=-1), 'clf__estimator__C': 0.046415888336127774, 'clf__estimator__class_weight': 'balanced', 'clf__estimator__solver': 'lbfgs', 'vect__ngram_range': (1, 2)}",0.5655295181033743,0.5616147241017091,0.5710594437917564,0.5770756577444701,0.5721629382489433,0.5694884563980507,0.0053824777106561816,2
21,318.4289342880249,13.978962005759099,68.54707136154175,10.357001092198052,"MultiOutputClassifier(estimator=LogisticRegression(C=0.046415888336127774,
                                                   class_weight='balanced',
                                                   solver='sag'),
                      n_jobs=-1)",21.54434690031882,balanced,lbfgs,"(1, 2)",,"{'clf': MultiOutputClassifier(estimator=LogisticRegression(C=0.046415888336127774,
                                                   class_weight='balanced',
                                                   solver='sag'),
                      n_jobs=-1), 'clf__estimator__C': 21.54434690031882, 'clf__estimator__class_weight': 'balanced', 'clf__estimator__solver': 'lbfgs', 'vect__ngram_range': (1, 2)}",0.5640352128323489,0.5583942409044339,0.5691354781081588,0.5727034795052123,0.5716185855965373,0.5671773993893383,0.005312494291254217,3
23,225.64842982292174,18.774462756560805,53.12360882759094,11.105561018407336,"MultiOutputClassifier(estimator=LogisticRegression(C=0.046415888336127774,
                                                   class_weight='balanced',
                                                   solver='sag'),
                      n_jobs=-1)",21.54434690031882,balanced,sag,"(1, 2)",,"{'clf': MultiOutputClassifier(estimator=LogisticRegression(C=0.046415888336127774,
                                                   class_weight='balanced',
                                                   solver='sag'),
                      n_jobs=-1), 'clf__estimator__C': 21.54434690031882, 'clf__estimator__class_weight': 'balanced', 'clf__estimator__solver': 'sag', 'vect__ngram_range': (1, 2)}",0.5642791901502237,0.5579608966149951,0.5690977257635395,0.5725734837922409,0.5716224649101448,0.5671067522462288,0.005401528910224976,4
5,307.64916677474974,8.718761067783229,44.9708384513855,1.9771113823620907,"MultiOutputClassifier(estimator=LogisticRegression(C=0.046415888336127774,
                                                   class_weight='balanced',
                                                   solver='sag'),
                      n_jobs=-1)",0.0001,balanced,lbfgs,"(1, 2)",,"{'clf': MultiOutputClassifier(estimator=LogisticRegression(C=0.046415888336127774,
                                                   class_weight='balanced',
                                                   solver='sag'),
                      n_jobs=-1), 'clf__estimator__C': 0.0001, 'clf__estimator__class_weight': 'balanced', 'clf__estimator__solver': 'lbfgs', 'vect__ngram_range': (1, 2)}",0.5602352781756422,0.5547137287918935,0.5669856612242606,0.5695530733989035,0.5683403676255854,0.563965621843257,0.005639000661852962,5
7,531.5374571800232,104.57686112387353,65.4062349319458,34.49605358580235,"MultiOutputClassifier(estimator=LogisticRegression(C=0.046415888336127774,
                                                   class_weight='balanced',
                                                   solver='sag'),
                      n_jobs=-1)",0.0001,balanced,sag,"(1, 2)",,"{'clf': MultiOutputClassifier(estimator=LogisticRegression(C=0.046415888336127774,
                                                   class_weight='balanced',
                                                   solver='sag'),
                      n_jobs=-1), 'clf__estimator__C': 0.0001, 'clf__estimator__class_weight': 'balanced', 'clf__estimator__solver': 'sag', 'vect__ngram_range': (1, 2)}",0.6116136358236829,0.5604784937580879,0.610079657604039,0.46907797119023276,0.5568662666675579,0.56162320500872,0.051837496274290504,6
31,246.27778205871581,13.338560207934503,46.35989813804626,14.250665867717164,"MultiOutputClassifier(estimator=LogisticRegression(C=0.046415888336127774,
                                                   class_weight='balanced',
                                                   solver='sag'),
                      n_jobs=-1)",10000.0,balanced,sag,"(1, 2)",,"{'clf': MultiOutputClassifier(estimator=LogisticRegression(C=0.046415888336127774,
                                                   class_weight='balanced',
                                                   solver='sag'),
                      n_jobs=-1), 'clf__estimator__C': 10000.0, 'clf__estimator__class_weight': 'balanced', 'clf__estimator__solver': 'sag', 'vect__ngram_range': (1, 2)}",0.5584731960864352,0.5486132110158202,0.5599997698954844,0.5657733382466175,0.5605116970060583,0.558674242450083,0.0055999142233380825,7
29,354.58790545463563,29.886246739965003,68.08800892829895,8.050352370143662,"MultiOutputClassifier(estimator=LogisticRegression(C=0.046415888336127774,
                                                   class_weight='balanced',
                                                   solver='sag'),
                      n_jobs=-1)",10000.0,balanced,lbfgs,"(1, 2)",,"{'clf': MultiOutputClassifier(estimator=LogisticRegression(C=0.046415888336127774,
                                                   class_weight='balanced',
                                                   solver='sag'),
                      n_jobs=-1), 'clf__estimator__C': 10000.0, 'clf__estimator__class_weight': 'balanced', 'clf__estimator__solver': 'lbfgs', 'vect__ngram_range': (1, 2)}",0.5522557116213501,0.5441526474104414,0.5587096244507638,0.5580459380446737,0.5569379761129523,0.5540203795280363,0.005425729427717751,8
4,200.9481399536133,62.52333202592491,164.52233839035034,58.423297917506574,"MultiOutputClassifier(estimator=LogisticRegression(C=0.046415888336127774,
                                                   class_weight='balanced',
                                                   solver='sag'),
                      n_jobs=-1)",0.0001,balanced,lbfgs,"(1, 1)",,"{'clf': MultiOutputClassifier(estimator=LogisticRegression(C=0.046415888336127774,
                                                   class_weight='balanced',
                                                   solver='sag'),
                      n_jobs=-1), 'clf__estimator__C': 0.0001, 'clf__estimator__class_weight': 'balanced', 'clf__estimator__solver': 'lbfgs', 'vect__ngram_range': (1, 1)}",0.5430385218132125,0.5361146670581465,0.5478587384436231,0.551309660181578,0.5476517704706072,0.5451946715934335,0.005246391840936106,9
25,333.8558861732483,17.282554212176574,69.73047132492066,14.013152513938724,"MultiOutputClassifier(estimator=LogisticRegression(C=0.046415888336127774,
                                                   class_weight='balanced',
                                                   solver='sag'),
                      n_jobs=-1)",10000.0,,lbfgs,"(1, 2)",,"{'clf': MultiOutputClassifier(estimator=LogisticRegression(C=0.046415888336127774,
                                                   class_weight='balanced',
                                                   solver='sag'),
                      n_jobs=-1), 'clf__estimator__C': 10000.0, 'clf__estimator__class_weight': None, 'clf__estimator__solver': 'lbfgs', 'vect__ngram_range': (1, 2)}",0.5414669378763622,0.5304345731172779,0.5418934698464195,0.5445651673792704,0.5453539250986219,0.5407428146635904,0.005366207697830784,10
19,209.63399052619934,11.466286568666348,47.48678464889527,6.686073352068737,"MultiOutputClassifier(estimator=LogisticRegression(C=0.046415888336127774,
                                                   class_weight='balanced',
                                                   solver='sag'),
                      n_jobs=-1)",21.54434690031882,,sag,"(1, 2)",,"{'clf': MultiOutputClassifier(estimator=LogisticRegression(C=0.046415888336127774,
                                                   class_weight='balanced',
                                                   solver='sag'),
                      n_jobs=-1), 'clf__estimator__C': 21.54434690031882, 'clf__estimator__class_weight': None, 'clf__estimator__solver': 'sag', 'vect__ngram_range': (1, 2)}",0.5400441060956479,0.5322389703269184,0.5412565260102316,0.5441487237971703,0.5453750183579554,0.5406126689175846,0.004605220950816762,11
17,284.9120878219604,7.389736868162785,59.489009380340576,11.20863357483086,"MultiOutputClassifier(estimator=LogisticRegression(C=0.046415888336127774,
                                                   class_weight='balanced',
                                                   solver='sag'),
                      n_jobs=-1)",21.54434690031882,,lbfgs,"(1, 2)",,"{'clf': MultiOutputClassifier(estimator=LogisticRegression(C=0.046415888336127774,
                                                   class_weight='balanced',
                                                   solver='sag'),
                      n_jobs=-1), 'clf__estimator__C': 21.54434690031882, 'clf__estimator__class_weight': None, 'clf__estimator__solver': 'lbfgs', 'vect__ngram_range': (1, 2)}",0.540671355948166,0.5320974650304668,0.5418250819972426,0.5438586268332534,0.544263358465895,0.5405431776550047,0.004423159926410765,12
6,216.77138223648072,45.62880064693381,65.39310479164124,14.071598815584776,"MultiOutputClassifier(estimator=LogisticRegression(C=0.046415888336127774,
                                                   class_weight='balanced',
                                                   solver='sag'),
                      n_jobs=-1)",0.0001,balanced,sag,"(1, 1)",,"{'clf': MultiOutputClassifier(estimator=LogisticRegression(C=0.046415888336127774,
                                                   class_weight='balanced',
                                                   solver='sag'),
                      n_jobs=-1), 'clf__estimator__C': 0.0001, 'clf__estimator__class_weight': 'balanced', 'clf__estimator__solver': 'sag', 'vect__ngram_range': (1, 1)}",0.5432981497393926,0.5344947297194654,0.5457610479171957,0.5805486215904451,0.49820697680192305,0.5404619051536843,0.026321687577868267,13
27,251.1612636089325,9.026620965305998,52.66553521156311,15.312190274058837,"MultiOutputClassifier(estimator=LogisticRegression(C=0.046415888336127774,
                                                   class_weight='balanced',
                                                   solver='sag'),
                      n_jobs=-1)",10000.0,,sag,"(1, 2)",,"{'clf': MultiOutputClassifier(estimator=LogisticRegression(C=0.046415888336127774,
                                                   class_weight='balanced',
                                                   solver='sag'),
                      n_jobs=-1), 'clf__estimator__C': 10000.0, 'clf__estimator__class_weight': None, 'clf__estimator__solver': 'sag', 'vect__ngram_range': (1, 2)}",0.5383316974050072,0.525668678393099,0.5398120444696076,0.5464142636889406,0.5424888531706034,0.5385431074254516,0.006998997481604116,14
14,156.20991015434265,1.160867194504388,42.71710968017578,1.1021460356610817,"MultiOutputClassifier(estimator=LogisticRegression(C=0.046415888336127774,
                                                   class_weight='balanced',
                                                   solver='sag'),
                      n_jobs=-1)",0.046415888336127774,balanced,sag,"(1, 1)",,"{'clf': MultiOutputClassifier(estimator=LogisticRegression(C=0.046415888336127774,
                                                   class_weight='balanced',
                                                   solver='sag'),
                      n_jobs=-1), 'clf__estimator__C': 0.046415888336127774, 'clf__estimator__class_weight': 'balanced', 'clf__estimator__solver': 'sag', 'vect__ngram_range': (1, 1)}",0.535989287554378,0.5325240254788273,0.5402446552558166,0.5446381790108116,0.5376906436013982,0.5382173581802464,0.004074129054934617,15
12,159.81662673950194,3.771405585480588,44.59863386154175,2.432552921136785,"MultiOutputClassifier(estimator=LogisticRegression(C=0.046415888336127774,
                                                   class_weight='balanced',
                                                   solver='sag'),
                      n_jobs=-1)",0.046415888336127774,balanced,lbfgs,"(1, 1)",,"{'clf': MultiOutputClassifier(estimator=LogisticRegression(C=0.046415888336127774,
                                                   class_weight='balanced',
                                                   solver='sag'),
                      n_jobs=-1), 'clf__estimator__C': 0.046415888336127774, 'clf__estimator__class_weight': 'balanced', 'clf__estimator__solver': 'lbfgs', 'vect__ngram_range': (1, 1)}",0.5359336657824274,0.5325209984436191,0.5400020253647393,0.5445372050364469,0.5378694704969631,0.5381726730248392,0.0040224447413673425,16
22,209.47402939796447,9.661780469757232,67.3700722694397,2.2172263978670177,"MultiOutputClassifier(estimator=LogisticRegression(C=0.046415888336127774,
                                                   class_weight='balanced',
                                                   solver='sag'),
                      n_jobs=-1)",21.54434690031882,balanced,sag,"(1, 1)",,"{'clf': MultiOutputClassifier(estimator=LogisticRegression(C=0.046415888336127774,
                                                   class_weight='balanced',
                                                   solver='sag'),
                      n_jobs=-1), 'clf__estimator__C': 21.54434690031882, 'clf__estimator__class_weight': 'balanced', 'clf__estimator__solver': 'sag', 'vect__ngram_range': (1, 1)}",0.523891379878761,0.5126920440255543,0.523874375809544,0.5277199176971963,0.5219968490123331,0.5220349132846778,0.005028717940938658,17
20,203.90858721733093,2.626504668577998,43.22064261436462,1.5003775571697417,"MultiOutputClassifier(estimator=LogisticRegression(C=0.046415888336127774,
                                                   class_weight='balanced',
                                                   solver='sag'),
                      n_jobs=-1)",21.54434690031882,balanced,lbfgs,"(1, 1)",,"{'clf': MultiOutputClassifier(estimator=LogisticRegression(C=0.046415888336127774,
                                                   class_weight='balanced',
                                                   solver='sag'),
                      n_jobs=-1), 'clf__estimator__C': 21.54434690031882, 'clf__estimator__class_weight': 'balanced', 'clf__estimator__solver': 'lbfgs', 'vect__ngram_range': (1, 1)}",0.52144620974524,0.5113099054500151,0.5239888953155984,0.5254886479103847,0.5211522954753829,0.5206771907793243,0.004953395920829622,18
16,183.99787979125978,3.121595234497092,45.305819797515866,2.6490916579380688,"MultiOutputClassifier(estimator=LogisticRegression(C=0.046415888336127774,
                                                   class_weight='balanced',
                                                   solver='sag'),
                      n_jobs=-1)",21.54434690031882,,lbfgs,"(1, 1)",,"{'clf': MultiOutputClassifier(estimator=LogisticRegression(C=0.046415888336127774,
                                                   class_weight='balanced',
                                                   solver='sag'),
                      n_jobs=-1), 'clf__estimator__C': 21.54434690031882, 'clf__estimator__class_weight': None, 'clf__estimator__solver': 'lbfgs', 'vect__ngram_range': (1, 1)}",0.4962177090994367,0.4814029724733243,0.4984642002414881,0.4954189122517821,0.4960586369521395,0.4935124862036341,0.0061415856181345815,19
